normdF = 124.109158748801974  normdF_normal = 124.090853883440261  err = 0.008893553529199
normdF = 165.231732079856414  normdF_normal = 165.203504650593686  err = 0.011129837541795
normdF = 87.987198704149819  normdF_normal = 87.971247862011225  err = 0.007027095144100
normdF = 88.065273027656289  normdF_normal = 88.041861742490937  err = 0.061896963529677
normdF = 110.404231444158796  normdF_normal = 110.385346461454361  err = 0.012371981980757
normdF = 126.759934097502793  normdF_normal = 126.737500033625423  err = 0.012800481777952
normdF = 64.493230078637424  normdF_normal = 64.469442424264543  err = 0.022897367220756
normdF = 137.373942231187414  normdF_normal = 137.357825992608014  err = 0.009081957700912
normdF = 130.945201940114657  normdF_normal = 130.930378841833573  err = 0.034602479022747
normdF = 138.618532887331014  normdF_normal = 138.596117791266039  err = 0.011333897993506
normdF = 79.079355068039902  normdF_normal = 79.060612213462889  err = 0.013077966841868
normdF = 98.810389328716170  normdF_normal = 98.791629749302928  err = 0.016137529770933
normdF = 114.399258914345708  normdF_normal = 114.384364414154547  err = 0.042602671561083
normdF = 185.796678030308698  normdF_normal = 185.782427372669730  err = 0.013880188853528
normdF = 68.090537587549264  normdF_normal = 68.068049823203268  err = 0.013256755014719
normdF = 112.197546012526914  normdF_normal = 112.183425452038165  err = 0.016220453801034
normdF = 118.213402462692670  normdF_normal = 118.194618809817456  err = 0.012377099074511
normdF = 87.145714170177897  normdF_normal = 87.123810478318447  err = 0.258976183693701
normdF = 265.044721489838764  normdF_normal = 265.036248938511505  err = 0.028580140400571
normdF = 64.140457017037917  normdF_normal = 64.118617884159548  err = 0.037916962085611
normdF = 91.639915630986948  normdF_normal = 91.620201907592403  err = 0.009152659341888
normdF = 85.153221739707035  normdF_normal = 85.136572204249973  err = 0.048553522420539
normdF = 93.632350804407508  normdF_normal = 93.612616161291513  err = 0.010614428087563
normdF = 84.505080536620383  normdF_normal = 84.486159991762136  err = 0.017813049922161
normdF = 65.261082813844766  normdF_normal = 65.229880142652974  err = 0.011419768687667
normdF = 98.462588631609691  normdF_normal = 98.440463275774277  err = 0.010663397328608
normdF = 113.227735141833747  normdF_normal = 113.197203195350525  err = 0.011919046902768
normdF = 119.942903117480981  normdF_normal = 119.930762440035934  err = 0.015400227887712
normdF = 138.767609617106132  normdF_normal = 138.751629648061481  err = 0.005692738974307
normdF = 64.923096440867795  normdF_normal = 64.899146112983061  err = 0.074705844551215
normdF = 177.206997028417931  normdF_normal = 177.185922077376546  err = 0.010660868283087
normdF = 73.564014874096685  normdF_normal = 73.545889317513229  err = 0.008179796794620
normdF = 95.997810463831257  normdF_normal = 95.980484354364421  err = 0.005518661721444
normdF = 72.978054972169446  normdF_normal = 72.956738436417083  err = 0.007826119423867
normdF = 71.061729300975415  normdF_normal = 71.047708800829142  err = 0.010757654567731
normdF = 75.529838343427855  normdF_normal = 75.507615989591798  err = 0.024041556061250
normdF = 92.970024052547217  normdF_normal = 92.952974980807269  err = 0.014468137430211
normdF = 127.359846015013630  normdF_normal = 127.338128919243317  err = 0.013553234291646
normdF = 81.087438301678020  normdF_normal = 81.072716565471879  err = 0.007266118584072
normdF = 102.921970230629938  normdF_normal = 102.906424915019088  err = 0.015829780184018
normdF = 140.240826362426077  normdF_normal = 140.228511381087941  err = 0.007733422328913
normdF = 73.891331346496514  normdF_normal = 73.873322357050583  err = 0.015131593604862
normdF = 92.859347995888342  normdF_normal = 92.844925205055944  err = 0.009993497171026
normdF = 110.265931273870507  normdF_normal = 110.244677826667640  err = 0.025929867589536
normdF = 89.225554144164335  normdF_normal = 89.209728927904763  err = 0.041838611741037
normdF = 86.744959218530141  normdF_normal = 86.726000845629557  err = 0.025263194923496
normdF = 104.905841791270205  normdF_normal = 104.889506197840603  err = 0.074685101505347
normdF = 68.511833388346233  normdF_normal = 68.485050700394211  err = 0.014929410490743
normdF = 168.366699149087395  normdF_normal = 168.349072220732864  err = 0.017016774991800
normdF = 195.810039672317146  normdF_normal = 195.795304635685511  err = 0.005308026178188
normdF = 50.730014905541175  normdF_normal = 50.707773929487281  err = 0.020136987044463
normdF = 104.239367732566620  normdF_normal = 104.223105199460932  err = 0.007066771688014
normdF = 115.721433418286878  normdF_normal = 115.701115451477634  err = 0.011427672167804
normdF = 77.831051102869282  normdF_normal = 77.808252780033925  err = 0.026278157870460
normdF = 142.934064156609594  normdF_normal = 142.921352626523372  err = 0.008319105047038
normdF = 100.609592573194405  normdF_normal = 100.584777986194396  err = 0.014798072867402
normdF = 82.421867709275361  normdF_normal = 82.410159306192028  err = 0.005583130933048
normdF = 73.211566640988067  normdF_normal = 73.180609207161339  err = 0.008902354711384
normdF = 133.049196380043497  normdF_normal = 133.026271385596687  err = 0.019263961736890
normdF = 84.984893451450759  normdF_normal = 84.963341961867357  err = 0.039959021401928
normdF = 152.872727654162986  normdF_normal = 152.853619633155091  err = 0.007812883046953
normdF = 94.146253701902452  normdF_normal = 94.132962161429816  err = 0.082464554631420
normdF = 138.432377140631104  normdF_normal = 138.413867750108949  err = 0.011936774586106
normdF = 108.219592652337894  normdF_normal = 108.205596118163569  err = 0.009446202770153
normdF = 71.354021785866621  normdF_normal = 71.333019324121224  err = 0.013575863602806
normdF = 119.800690986046945  normdF_normal = 119.784848021473209  err = 0.009540330694057
normdF = 198.259604735400416  normdF_normal = 198.244167744353348  err = 0.016522176218304
normdF = 101.797243839414676  normdF_normal = 101.779438734058374  err = 0.019128438123299
normdF = 169.653303732523881  normdF_normal = 169.637012353512375  err = 0.008045790360423
