normdF = 1636.667540435028059  normdF_normal = 1635.964426502150900  err = 0.058311698199925
normdF = 1000.461631789742569  normdF_normal = 999.460721598035889  err = 0.036119712293088
normdF = 1374.758198182494198  normdF_normal = 1373.820068446754249  err = 0.058360124412680
normdF = 1736.735732662861210  normdF_normal = 1736.169787682589458  err = 0.185786864021700
normdF = 1043.251066431080744  normdF_normal = 1042.205234360736540  err = 0.072329716197126
normdF = 1037.333369338355624  normdF_normal = 1036.530183397253495  err = 0.028035753626231
normdF = 932.554197108690232  normdF_normal = 931.741367431067147  err = 0.030230878569919
normdF = 1407.763359305466111  normdF_normal = 1406.686190738722189  err = 0.101177794471201
normdF = 1754.408765934363373  normdF_normal = 1753.735174621631586  err = 0.024198256545913
normdF = 783.246283419936731  normdF_normal = 782.230504974430232  err = 1.279613391229518
normdF = 2898.246211709697945  normdF_normal = 2897.918860539607067  err = 0.165868411442276
normdF = 869.976342720189450  normdF_normal = 868.910675087231311  err = 0.066142151382465
normdF = 1317.095523217547452  normdF_normal = 1316.124529516164102  err = 0.200531869638195
normdF = 1161.438270612646420  normdF_normal = 1160.695965020171798  err = 0.064860772176850
normdF = 1424.187978426105019  normdF_normal = 1423.560161158335177  err = 0.044615114720619
normdF = 1345.647389741145162  normdF_normal = 1344.871296446398901  err = 0.143845318884633
normdF = 1024.588714898939088  normdF_normal = 1023.956103300497034  err = 0.031591094495703
normdF = 1135.551891718063189  normdF_normal = 1134.614559868126435  err = 0.058189576487328
normdF = 1481.635029084337930  normdF_normal = 1480.881390134489720  err = 0.025875934018048
normdF = 1180.785481731242953  normdF_normal = 1179.864436674990202  err = 0.030428428536898
normdF = 1718.462142011434025  normdF_normal = 1717.505822427892326  err = 0.083398273668156
normdF = 1185.009325120718586  normdF_normal = 1184.096719164908791  err = 0.092375099856803
normdF = 1332.567414033076602  normdF_normal = 1331.925764181780778  err = 0.048383521005363
normdF = 1507.580893183841681  normdF_normal = 1506.743713995978169  err = 0.073052579966169
normdF = 1884.708136919321532  normdF_normal = 1884.059881122854222  err = 0.027564096400787
normdF = 851.177573501545794  normdF_normal = 850.110520934416513  err = 0.029493652143597
normdF = 1344.289548965447466  normdF_normal = 1343.098294387407577  err = 0.035716589753453
normdF = 1304.830218496041653  normdF_normal = 1304.186648956231920  err = 0.028263052722406
normdF = 1320.657810475366432  normdF_normal = 1319.899935825385000  err = 0.078621881389737
normdF = 1188.066793436291164  normdF_normal = 1187.369060109039765  err = 0.063177416561389
normdF = 1924.369911981558516  normdF_normal = 1923.775021042552453  err = 0.098436761863754
normdF = 1299.512951696684240  normdF_normal = 1298.894278372526514  err = 0.029458339665165
normdF = 1022.364014885954020  normdF_normal = 1021.472612177720407  err = 0.149623504890878
normdF = 2058.697898808568880  normdF_normal = 2057.973699757113536  err = 0.049345255435996
normdF = 770.957608976457436  normdF_normal = 770.237431123851366  err = 0.044154393875607
normdF = 1228.543118867797602  normdF_normal = 1227.749378994364179  err = 0.055181098276398
normdF = 1614.653745496663305  normdF_normal = 1614.118123765270184  err = 0.260570841221290
normdF = 1335.006601017948697  normdF_normal = 1334.186972597544127  err = 0.048515252674643
normdF = 1510.937970651646310  normdF_normal = 1510.238404551616441  err = 0.026507392843781
normdF = 1349.871126976646792  normdF_normal = 1348.866526992938361  err = 0.079331341276429
normdF = 1453.979980335441724  normdF_normal = 1453.164121590237755  err = 0.207388586822896
normdF = 1175.060250032505110  normdF_normal = 1174.538644505270895  err = 0.109685652426925
normdF = 981.855905323290699  normdF_normal = 981.050520060221515  err = 0.092570029742388
normdF = 1270.296222819453533  normdF_normal = 1269.607742118784017  err = 0.026511284477034
normdF = 792.792112990535315  normdF_normal = 792.035110845391955  err = 0.076218170055715
normdF = 1240.503343840581920  normdF_normal = 1239.518387040059679  err = 0.079048036191501
normdF = 1528.860021087547693  normdF_normal = 1528.174028598232553  err = 0.050751365935297
normdF = 1542.810963110080593  normdF_normal = 1542.039520251141312  err = 0.035896799188633
normdF = 1389.550033768812682  normdF_normal = 1388.796158274855316  err = 0.018410454834644
normdF = 986.152827319204675  normdF_normal = 985.037485153426360  err = 0.033687001245276
normdF = 788.887505699999679  normdF_normal = 788.056764778163938  err = 0.043677459724586
normdF = 912.341286158847765  normdF_normal = 911.550440175422182  err = 0.090390861907902
normdF = 1859.920599419820974  normdF_normal = 1859.455366274138214  err = 0.029640055708834
normdF = 1143.189749660270309  normdF_normal = 1142.501636428975871  err = 0.069694809985353
normdF = 1641.587235715295265  normdF_normal = 1640.843242459498470  err = 0.117303604543427
normdF = 1935.419042288383935  normdF_normal = 1934.833747214754112  err = 0.047077216188485
normdF = 948.136265159514892  normdF_normal = 947.322959956652653  err = 0.024756316108993
normdF = 1258.697424246685159  normdF_normal = 1257.988909704567050  err = 0.027918240481109
normdF = 911.857356025785180  normdF_normal = 910.900385575675728  err = 0.045586615550704
normdF = 1128.050826603010819  normdF_normal = 1127.295532665215205  err = 0.031335958701013
normdF = 1516.362785818148041  normdF_normal = 1515.481181186040203  err = 0.030916213004507
normdF = 1142.711233516999982  normdF_normal = 1141.994355749222223  err = 0.595576193754977
normdF = 1375.841719936710206  normdF_normal = 1375.379132682498721  err = 0.062516556238755
normdF = 1062.639567312474128  normdF_normal = 1062.034836382108097  err = 0.043217973185920
normdF = 738.822885454772518  normdF_normal = 738.216558439149594  err = 0.056586846795274
normdF = 1736.760652973014430  normdF_normal = 1736.161090635835535  err = 0.024860429339342
normdF = 975.276620758697618  normdF_normal = 974.360625235561542  err = 0.052439853068308
normdF = 1521.168566857015321  normdF_normal = 1520.778177781726072  err = 0.022597287586330
normdF = 944.185024132143326  normdF_normal = 943.412066218323503  err = 0.053354922716410
normdF = 1586.396393298293788  normdF_normal = 1585.621362112992756  err = 0.030768976585413
normdF = 1448.794566555376832  normdF_normal = 1448.034350831092070  err = 0.028013511618427
normdF = 781.259487549613937  normdF_normal = 780.239746582763360  err = 0.120806826720250
normdF = 1863.995375687562955  normdF_normal = 1863.298589191836072  err = 0.047828766219930
normdF = 1275.673789244286809  normdF_normal = 1275.040393776486098  err = 0.030486902585493
normdF = 1246.980562582205039  normdF_normal = 1245.945763757383929  err = 0.041632522300655
normdF = 1468.495573250368125  normdF_normal = 1467.815373468810321  err = 0.020869842889661
normdF = 915.797199261799051  normdF_normal = 914.959734967051418  err = 0.027889557077916
