normdF = 195.609738612513524  normdF_normal = 195.591515164781526  err = 0.041940283688630
normdF = 76.173065418633897  normdF_normal = 76.147015648631708  err = 0.012912424603415
normdF = 67.347495002037476  normdF_normal = 67.319579980333756  err = 0.024044007644157
normdF = 72.306743942650328  normdF_normal = 72.283912115225846  err = 0.013585069184906
normdF = 100.220713152850891  normdF_normal = 100.196034310694387  err = 0.008829915637726
normdF = 63.596102668282384  normdF_normal = 63.572191243952290  err = 0.013386278784998
normdF = 115.497435021876001  normdF_normal = 115.467857108366886  err = 0.059039523339722
normdF = 115.406428979941580  normdF_normal = 115.385238916979944  err = 0.010397475636301
normdF = 47.573298158049873  normdF_normal = 47.544388156137508  err = 0.019123770836977
normdF = 195.401591978788957  normdF_normal = 195.375878904627058  err = 0.089762270971524
normdF = 98.314934673216939  normdF_normal = 98.300647200872760  err = 0.019788934960205
normdF = 96.760960670033413  normdF_normal = 96.738934260508927  err = 0.011000220513255
normdF = 156.184289161295652  normdF_normal = 156.168446179432266  err = 0.004339851337519
normdF = 73.779227697964231  normdF_normal = 73.757512113352320  err = 0.007110167647962
normdF = 86.267220213921036  normdF_normal = 86.241069823645461  err = 0.004378407187326
normdF = 56.653177645815532  normdF_normal = 56.629341544315380  err = 0.032843350103736
normdF = 109.616466909527702  normdF_normal = 109.599080013142114  err = 0.011126487955105
normdF = 90.016043194794861  normdF_normal = 89.986676499252169  err = 0.080062894297757
normdF = 133.311187905713894  normdF_normal = 133.287415331541439  err = 0.021106229829133
normdF = 105.511573262852082  normdF_normal = 105.482112476490499  err = 0.008661702437462
normdF = 129.864979867533236  normdF_normal = 129.844779632435035  err = 0.005028412301461
normdF = 66.259731933993919  normdF_normal = 66.226253430945519  err = 0.023762926443477
normdF = 109.602209791414012  normdF_normal = 109.575390204707361  err = 0.071892669783781
normdF = 152.153085795961260  normdF_normal = 152.123542962696916  err = 0.022667910702972
normdF = 111.966277497541370  normdF_normal = 111.939478200756483  err = 0.021776454581544
normdF = 72.819818411094019  normdF_normal = 72.790577296565900  err = 0.013311936377728
normdF = 105.545490014768802  normdF_normal = 105.524615688949993  err = 0.013603386633724
normdF = 81.360007417040990  normdF_normal = 81.332606698654629  err = 0.007074296881064
normdF = 82.195659671947652  normdF_normal = 82.164225208786817  err = 0.009590711846818
normdF = 86.344349633691436  normdF_normal = 86.324503901809408  err = 0.026309525945147
normdF = 77.282802829541112  normdF_normal = 77.252712495532876  err = 0.009981868473833
normdF = 138.133838998699105  normdF_normal = 138.118055120319696  err = 0.016976359888425
normdF = 147.413565245999905  normdF_normal = 147.391734628349468  err = 0.012093489247802
normdF = 91.716368316308291  normdF_normal = 91.692264891306877  err = 0.014264349441539
normdF = 61.461703610799979  normdF_normal = 61.437645268969320  err = 0.015666625811348
normdF = 73.693887641450061  normdF_normal = 73.671226400980004  err = 0.005076881268664
normdF = 59.309172919481341  normdF_normal = 59.278636366842953  err = 0.014075312885876
normdF = 112.884611302416459  normdF_normal = 112.864109755626416  err = 0.024459271950560
